,date,ndvi,evi
953,2022-08-11,0.5885432,1.4925292
954,2022-08-12,0.6009351,5231.9805
955,2022-08-13,,
956,2022-08-14,0.6143146,5608.91
957,2022-08-15,0.59382063,1.4778802
958,2022-08-16,,
959,2022-08-17,,
960,2022-08-18,,
961,2022-08-19,,
962,2022-08-20,,
963,2022-08-21,,
964,2022-08-22,,
965,2022-08-23,0.66502696,1.6665806
966,2022-08-24,,
967,2022-08-25,,
968,2022-08-26,,
969,2022-08-27,0.5954268,2.118024
970,2022-08-28,,
971,2022-08-29,,
972,2022-08-30,,
973,2022-08-31,0.64859945,1.7643758
974,2022-09-01,,
975,2022-09-02,,
976,2022-09-03,0.6578879,1.8196168
977,2022-09-04,,
978,2022-09-05,0.66515374,1.7870511
979,2022-09-06,,
980,2022-09-07,,
981,2022-09-08,0.670342,1.7038668
982,2022-09-09,0.6916806,1.6593238
983,2022-09-10,,
984,2022-09-11,0.66635317,1.7094592
985,2022-09-12,0.66162556,1.6602601
986,2022-09-13,0.6612095,1.6591887
987,2022-09-14,0.6559456,1.7001714
988,2022-09-15,0.6405492,1.5966204
989,2022-09-16,0.646684,1.9763992
990,2022-09-17,,
991,2022-09-18,,
992,2022-09-19,,
993,2022-09-20,0.65294814,1.7933737
994,2022-09-21,,
995,2022-09-22,0.5776524,6556.327
996,2022-09-23,,
997,2022-09-24,,
998,2022-09-25,0.6426677,1.6851754
999,2022-09-26,,
1000,2022-09-27,0.61458087,1.6874998
1001,2022-09-28,,
1002,2022-09-29,,
1003,2022-09-30,0.5744451,1.611744
1004,2022-10-01,0.5810816,18302.998
1005,2022-10-02,0.62190074,1.6917048
1006,2022-10-03,,
1007,2022-10-04,,
1008,2022-10-05,,
1009,2022-10-06,,
1010,2022-10-07,,
1011,2022-10-08,,
1012,2022-10-09,0.62134475,1.6464723
1013,2022-10-10,,
1014,2022-10-11,0.61712945,1.5338911
1015,2022-10-12,,
1016,2022-10-13,0.59361047,1.5914733
1017,2022-10-14,,
1018,2022-10-15,,
1019,2022-10-16,,
1020,2022-10-17,,
1021,2022-10-18,,
1022,2022-10-19,,
1023,2022-10-20,,
1024,2022-10-21,,
1025,2022-10-22,,
1026,2022-10-23,,
1027,2022-10-24,,
1028,2022-10-25,,
1029,2022-10-26,0.5639524,1.3794353
1030,2022-10-27,0.5615366,1.3928038
1031,2022-10-28,,
1032,2022-10-29,,
1033,2022-10-30,,
1034,2022-10-31,,
1035,2022-11-01,,
1036,2022-11-02,,
1037,2022-11-03,,
1038,2022-11-04,,
1039,2022-11-05,,
1040,2022-11-06,0.46036708,1.0726581
1041,2022-11-07,,
1042,2022-11-08,,
1043,2022-11-09,,
1044,2022-11-10,,
1045,2022-11-11,,
1046,2022-11-12,0.4255413,2071.4316
1047,2022-11-13,0.49542052,1.0679294
1048,2022-11-14,,
1049,2022-11-15,,
1050,2022-11-16,,
1051,2022-11-17,0.44827065,1556.2482
1052,2022-11-18,0.43757555,1.0709596
1053,2022-11-19,0.4635418,4790.905
1054,2022-11-20,0.46149117,1.0677619
1055,2022-11-21,,
1056,2022-11-22,,
1057,2022-11-23,,
1058,2022-11-24,,
1059,2022-11-25,,
1060,2022-11-26,0.46293414,1.4918079
1061,2022-11-27,,
1062,2022-11-28,,
1063,2022-11-29,0.47615874,596.6167
1064,2022-11-30,,
1065,2022-12-01,,
1066,2022-12-02,,
1067,2022-12-03,,
1068,2022-12-04,,
1069,2022-12-05,,
1070,2022-12-06,,
1071,2022-12-07,,
1072,2022-12-08,,
1073,2022-12-09,,
1074,2022-12-10,,
1075,2022-12-11,,
1076,2022-12-12,,
1077,2022-12-13,,
1078,2022-12-14,,
1079,2022-12-15,,
1080,2022-12-16,,
1081,2022-12-17,,
1082,2022-12-18,,
1083,2022-12-19,,
1084,2022-12-20,,
1085,2022-12-21,,
1086,2022-12-22,,
1087,2022-12-23,,
1088,2022-12-24,,
1089,2022-12-25,,
1090,2022-12-26,,
1091,2022-12-27,,
1092,2022-12-28,,
1093,2022-12-29,,
1094,2022-12-30,,
1095,2022-12-31,,
1096,2023-01-01,,
1097,2023-01-02,,
1098,2023-01-03,,
1099,2023-01-04,,
1100,2023-01-05,,
1101,2023-01-06,,
1102,2023-01-07,,
1103,2023-01-08,,
1104,2023-01-09,,
1105,2023-01-10,,
1106,2023-01-11,,
1107,2023-01-12,,
1108,2023-01-13,,
1109,2023-01-14,,
1110,2023-01-15,,
1111,2023-01-16,,
1112,2023-01-17,,
1113,2023-01-18,,
1114,2023-01-19,,
1115,2023-01-20,,
1116,2023-01-21,,
1117,2023-01-22,,
1118,2023-01-23,,
1119,2023-01-24,,
1120,2023-01-25,,
1121,2023-01-26,,
1122,2023-01-27,,
1123,2023-01-28,,
1124,2023-01-29,,
1125,2023-01-30,,
1126,2023-01-31,,
1127,2023-02-01,,
1128,2023-02-02,,
1129,2023-02-03,,
1130,2023-02-04,,
1131,2023-02-05,,
1132,2023-02-06,,
1133,2023-02-07,,
1134,2023-02-08,,
1135,2023-02-09,,
1136,2023-02-10,,
1137,2023-02-11,,
1138,2023-02-12,,
1139,2023-02-13,,
1140,2023-02-14,,
1141,2023-02-15,,
1142,2023-02-16,,
1143,2023-02-17,,
1144,2023-02-18,,
1145,2023-02-19,,
1146,2023-02-20,,
1147,2023-02-21,,
1148,2023-02-22,,
1149,2023-02-23,,
1150,2023-02-24,,
1151,2023-02-25,,
1152,2023-02-26,,
1153,2023-02-27,,
1154,2023-02-28,,
1155,2023-03-01,,
1156,2023-03-02,,
1157,2023-03-03,,
1158,2023-03-04,,
1159,2023-03-05,,
1160,2023-03-06,,
1161,2023-03-07,,
1162,2023-03-08,,
1163,2023-03-09,,
1164,2023-03-10,,
1165,2023-03-11,,
1166,2023-03-12,,
1167,2023-03-13,,
1168,2023-03-14,,
1169,2023-03-15,0.4821922,1.0427749
1170,2023-03-16,,
1171,2023-03-17,0.46084663,0.99286383
1172,2023-03-18,,
1173,2023-03-19,,
1174,2023-03-20,,
1175,2023-03-21,,
1176,2023-03-22,,
1177,2023-03-23,,
1178,2023-03-24,,
1179,2023-03-25,,
1180,2023-03-26,,
1181,2023-03-27,,
1182,2023-03-28,,
1183,2023-03-29,,
1184,2023-03-30,,
1185,2023-03-31,,
1186,2023-04-01,,
1187,2023-04-02,,
1188,2023-04-03,,
1189,2023-04-04,,
1190,2023-04-05,,
1191,2023-04-06,,
1192,2023-04-07,,
1193,2023-04-08,,
1194,2023-04-09,0.48720255,1.1275595
1195,2023-04-10,,
1196,2023-04-11,0.5334879,1.3550651
1197,2023-04-12,,
1198,2023-04-13,,
1199,2023-04-14,0.4843234,1.484015
1200,2023-04-15,0.5003064,1.2076735
1201,2023-04-16,0.4812633,1.2229072
1202,2023-04-17,0.5069718,1.2547896
1203,2023-04-18,,
1204,2023-04-19,,
1205,2023-04-20,,
1206,2023-04-21,,
1207,2023-04-22,,
1208,2023-04-23,,
1209,2023-04-24,,
1210,2023-04-25,,
1211,2023-04-26,,
1212,2023-04-27,0.58024484,1.3691865
1213,2023-04-28,,
1214,2023-04-29,0.5367148,2719.071
1215,2023-04-30,,
1216,2023-05-01,,
1217,2023-05-02,,
1218,2023-05-03,,
1219,2023-05-04,,
1220,2023-05-05,,
1221,2023-05-06,,
1222,2023-05-07,,
1223,2023-05-08,,
1224,2023-05-09,,
1225,2023-05-10,0.63150144,1.6532471
1226,2023-05-11,,
1227,2023-05-12,,
1228,2023-05-13,,
1229,2023-05-14,,
1230,2023-05-15,,
1231,2023-05-16,,
1232,2023-05-17,,
1233,2023-05-18,,
1234,2023-05-19,,
1235,2023-05-20,,
1236,2023-05-21,,
1237,2023-05-22,,
1238,2023-05-23,,
1239,2023-05-24,,
1240,2023-05-25,0.66407925,1.7592883
1241,2023-05-26,,
1242,2023-05-27,,
1243,2023-05-28,0.62089217,1.7942151
1244,2023-05-29,0.66348577,1.7116798
1245,2023-05-30,,
1246,2023-05-31,,
1247,2023-06-01,0.66470045,1.8103569
1248,2023-06-02,0.6794712,1.9032881
1249,2023-06-03,,
1250,2023-06-04,,
1251,2023-06-05,,
1252,2023-06-06,0.57409585,67905.59
1253,2023-06-07,,
1254,2023-06-08,,
1255,2023-06-09,,
1256,2023-06-10,,
1257,2023-06-11,,
1258,2023-06-12,,
1259,2023-06-13,,
1260,2023-06-14,,
1261,2023-06-15,,
1262,2023-06-16,,
1263,2023-06-17,,
1264,2023-06-18,,
1265,2023-06-19,,
1266,2023-06-20,,
1267,2023-06-21,,
1268,2023-06-22,,
1269,2023-06-23,,
1270,2023-06-24,,
1271,2023-06-25,,
1272,2023-06-26,,
1273,2023-06-27,0.717643,4859.061
1274,2023-06-28,0.6587757,12597.715
1275,2023-06-29,,
1276,2023-06-30,,
1277,2023-07-01,,
1278,2023-07-02,,
1279,2023-07-03,,
1280,2023-07-04,0.70852286,1.9384806
1281,2023-07-05,0.64538157,1.9875789
1282,2023-07-06,0.64123464,2.0469236
1283,2023-07-07,0.6792896,1.7495557
1284,2023-07-08,0.6644601,1.7297779
1285,2023-07-09,,
1286,2023-07-10,,
1287,2023-07-11,,
1288,2023-07-12,,
1289,2023-07-13,,
1290,2023-07-14,0.5689704,1.2276851
1291,2023-07-15,0.587586,1.4709729
1292,2023-07-16,,
1293,2023-07-17,,
1294,2023-07-18,,
1295,2023-07-19,,
1296,2023-07-20,,
1297,2023-07-21,,
1298,2023-07-22,,
1299,2023-07-23,0.5461899,1.7064625
1300,2023-07-24,,
1301,2023-07-25,,
1302,2023-07-26,,
1303,2023-07-27,,
1304,2023-07-28,,
1305,2023-07-29,,
1306,2023-07-30,,
1307,2023-07-31,,
1308,2023-08-01,,
1309,2023-08-02,0.54446626,1.4368632
1310,2023-08-03,,
1311,2023-08-04,,
1312,2023-08-05,,
1313,2023-08-06,,
1314,2023-08-07,,
1315,2023-08-08,,
1316,2023-08-09,0.6090265,1.4853356
1317,2023-08-10,,
1318,2023-08-11,,
1319,2023-08-12,,
1320,2023-08-13,,
1321,2023-08-14,0.59514344,1.7808905
1322,2023-08-15,0.6376441,1.7575046
1323,2023-08-16,,
1324,2023-08-17,,
1325,2023-08-18,,
1326,2023-08-19,,
1327,2023-08-20,,
1328,2023-08-21,,
1329,2023-08-22,,
1330,2023-08-23,,
1331,2023-08-24,0.71135736,2.0471969
1332,2023-08-25,,
1333,2023-08-26,,
1334,2023-08-27,0.65088284,2.2104628
1335,2023-08-28,,
1336,2023-08-29,,
1337,2023-08-30,0.6554855,32020.096
1338,2023-08-31,,
1339,2023-09-01,,
1340,2023-09-02,,
1341,2023-09-03,,
1342,2023-09-04,,
1343,2023-09-05,,
1344,2023-09-06,,
1345,2023-09-07,,
1346,2023-09-08,,
1347,2023-09-09,,
1348,2023-09-10,,
1349,2023-09-11,,
1350,2023-09-12,,
1351,2023-09-13,,
1352,2023-09-14,0.72787195,1.9942247
1353,2023-09-15,0.6810915,2.113231
1354,2023-09-16,,
1355,2023-09-17,,
1356,2023-09-18,,
1357,2023-09-19,,
1358,2023-09-20,,
1359,2023-09-21,0.69271845,1.801673
1360,2023-09-22,0.6844897,1.9145279
1361,2023-09-23,,
1362,2023-09-24,,
1363,2023-09-25,,
1364,2023-09-26,,
1365,2023-09-27,,
1366,2023-09-28,,
1367,2023-09-29,0.6648382,1.9547157
1368,2023-09-30,,
1369,2023-10-01,0.6353042,1.942317
1370,2023-10-02,,
1371,2023-10-03,0.67778033,1.7675146
1372,2023-10-04,,
1373,2023-10-05,,
1374,2023-10-06,,
1375,2023-10-07,,
1376,2023-10-08,,
1377,2023-10-09,,
1378,2023-10-10,,
1379,2023-10-11,,
1380,2023-10-12,,
1381,2023-10-13,,
1382,2023-10-14,,
1383,2023-10-15,,
1384,2023-10-16,0.6339482,1.6933509
1385,2023-10-17,,
1386,2023-10-18,,
1387,2023-10-19,,
1388,2023-10-20,,
1389,2023-10-21,,
1390,2023-10-22,,
1391,2023-10-23,,
1392,2023-10-24,,
1393,2023-10-25,0.61177206,1.5663576
1394,2023-10-26,,
1395,2023-10-27,,
1396,2023-10-28,,
1397,2023-10-29,,
1398,2023-10-30,0.59583884,1.520214
1399,2023-10-31,0.5686694,1.4588203
1400,2023-11-01,,
1401,2023-11-02,0.50647336,1.3200234
1402,2023-11-03,0.5403265,1.4070165
1403,2023-11-04,0.56251675,1.3467758
1404,2023-11-05,0.5698026,1.3098853
1405,2023-11-06,,
1406,2023-11-07,,
1407,2023-11-08,0.51609117,1.2527432
1408,2023-11-09,,
1409,2023-11-10,,
1410,2023-11-11,,
1411,2023-11-12,,
1412,2023-11-13,,
1413,2023-11-14,,
1414,2023-11-15,,
1415,2023-11-16,,
1416,2023-11-17,0.49558425,1.231914
1417,2023-11-18,,
1418,2023-11-19,0.4741721,1.1748408
1419,2023-11-20,0.48526996,2076.419
1420,2023-11-21,,
1421,2023-11-22,,
1422,2023-11-23,0.50535965,1.1495577
1423,2023-11-24,,
1424,2023-11-25,,
1425,2023-11-26,0.53446656,1.2830712
1426,2023-11-27,0.50555915,1.1311119
1427,2023-11-28,0.47681203,1.1302497
1428,2023-11-29,,
1429,2023-11-30,,
1430,2023-12-01,,
1431,2023-12-02,,
1432,2023-12-03,,
1433,2023-12-04,,
1434,2023-12-05,,
1435,2023-12-06,,
1436,2023-12-07,,
1437,2023-12-08,,
1438,2023-12-09,,
1439,2023-12-10,,
1440,2023-12-11,,
1441,2023-12-12,,
1442,2023-12-13,,
1443,2023-12-14,,
1444,2023-12-15,,
1445,2023-12-16,,
1446,2023-12-17,,
1447,2023-12-18,,
1448,2023-12-19,,
1449,2023-12-20,,
1450,2023-12-21,,
1451,2023-12-22,,
1452,2023-12-23,,
1453,2023-12-24,,
1454,2023-12-25,,
1455,2023-12-26,,
1456,2023-12-27,,
1457,2023-12-28,,
1458,2023-12-29,,
1459,2023-12-30,,
1460,2023-12-31,,
1461,2024-01-01,,
1462,2024-01-02,,
1463,2024-01-03,,
1464,2024-01-04,,
1465,2024-01-05,,
1466,2024-01-06,,
1467,2024-01-07,,
1468,2024-01-08,,
1469,2024-01-09,,
1470,2024-01-10,,
1471,2024-01-11,,
1472,2024-01-12,,
1473,2024-01-13,,
1474,2024-01-14,,
1475,2024-01-15,,
1476,2024-01-16,,
1477,2024-01-17,,
1478,2024-01-18,,
1479,2024-01-19,,
1480,2024-01-20,,
1481,2024-01-21,,
1482,2024-01-22,,
1483,2024-01-23,,
1484,2024-01-24,,
1485,2024-01-25,,
1486,2024-01-26,,
1487,2024-01-27,,
1488,2024-01-28,,
1489,2024-01-29,,
1490,2024-01-30,,
1491,2024-01-31,,
1492,2024-02-01,,
1493,2024-02-02,,
1494,2024-02-03,,
1495,2024-02-04,,
1496,2024-02-05,,
1497,2024-02-06,,
1498,2024-02-07,,
1499,2024-02-08,,
1500,2024-02-09,,
1501,2024-02-10,,
1502,2024-02-11,,
1503,2024-02-12,,
1504,2024-02-13,,
1505,2024-02-14,,
1506,2024-02-15,,
1507,2024-02-16,,
1508,2024-02-17,,
1509,2024-02-18,,
1510,2024-02-19,,
1511,2024-02-20,,
1512,2024-02-21,,
1513,2024-02-22,,
1514,2024-02-23,,
1515,2024-02-24,,
1516,2024-02-25,,
1517,2024-02-26,,
1518,2024-02-27,,
1519,2024-02-28,,
1520,2024-02-29,,
1521,2024-03-01,,
1522,2024-03-02,,
1523,2024-03-03,,
1524,2024-03-04,,
1525,2024-03-05,,
1526,2024-03-06,,
1527,2024-03-07,,
1528,2024-03-08,,
1529,2024-03-09,,
1530,2024-03-10,,
1531,2024-03-11,,
1532,2024-03-12,,
1533,2024-03-13,,
1534,2024-03-14,,
1535,2024-03-15,,
1536,2024-03-16,,
1537,2024-03-17,,
1538,2024-03-18,,
1539,2024-03-19,,
1540,2024-03-20,,
1541,2024-03-21,,
1542,2024-03-22,,
1543,2024-03-23,,
1544,2024-03-24,,
1545,2024-03-25,0.44688603,1.122874
1546,2024-03-26,0.44591627,1.0618683
1547,2024-03-27,,
1548,2024-03-28,,
1549,2024-03-29,0.4629612,1.0399445
1550,2024-03-30,0.47894213,1.2125921
1551,2024-03-31,,
1552,2024-04-01,,
1553,2024-04-02,,
1554,2024-04-03,,
1555,2024-04-04,,
1556,2024-04-05,,
1557,2024-04-06,,
1558,2024-04-07,,
1559,2024-04-08,,
1560,2024-04-09,,
1561,2024-04-10,,
1562,2024-04-11,0.5176652,1.2086444
1563,2024-04-12,,
1564,2024-04-13,,
1565,2024-04-14,,
1566,2024-04-15,0.54535556,1.4665838
1567,2024-04-16,,
1568,2024-04-17,,
1569,2024-04-18,,
1570,2024-04-19,,
1571,2024-04-20,,
1572,2024-04-21,0.58975303,1.6461252
1573,2024-04-22,,
1574,2024-04-23,,
1575,2024-04-24,,
1576,2024-04-25,,
1577,2024-04-26,,
1578,2024-04-27,,
1579,2024-04-28,,
1580,2024-04-29,,
1581,2024-04-30,,
1582,2024-05-01,,
1583,2024-05-02,,
1584,2024-05-03,0.67275965,1.6910809
1585,2024-05-04,,
1586,2024-05-05,,
1587,2024-05-06,0.6445402,1.6845467
1588,2024-05-07,,
1589,2024-05-08,,
1590,2024-05-09,0.67737424,1.7497773
1591,2024-05-10,,
1592,2024-05-11,,
1593,2024-05-12,,
1594,2024-05-13,,
1595,2024-05-14,0.66409445,2.000292
1596,2024-05-15,0.6708696,1.848962
1597,2024-05-16,,
1598,2024-05-17,0.6515185,1.7336466
1599,2024-05-18,0.6727289,1.9098238
1600,2024-05-19,,
1601,2024-05-20,,
1602,2024-05-21,,
1603,2024-05-22,,
1604,2024-05-23,,
1605,2024-05-24,,
1606,2024-05-25,,
1607,2024-05-26,,
1608,2024-05-27,,
1609,2024-05-28,,
1610,2024-05-29,0.6942561,1.9047401
1611,2024-05-30,,
1612,2024-05-31,,
1613,2024-06-01,,
1614,2024-06-02,,
1615,2024-06-03,,
1616,2024-06-04,,
1617,2024-06-05,,
1618,2024-06-06,,
1619,2024-06-07,,
1620,2024-06-08,,
1621,2024-06-09,,
1622,2024-06-10,,
1623,2024-06-11,,
1624,2024-06-12,,
1625,2024-06-13,,
1626,2024-06-14,,
1627,2024-06-15,,
1628,2024-06-16,,
1629,2024-06-17,0.71668214,1.9412233
1630,2024-06-18,,
1631,2024-06-19,,
1632,2024-06-20,,
1633,2024-06-21,0.67755806,1.8521239
1634,2024-06-22,,
1635,2024-06-23,0.6936213,1.8228608
1636,2024-06-24,,
1637,2024-06-25,0.5990775,1.7009315
1638,2024-06-26,,
1639,2024-06-27,,
1640,2024-06-28,,
1641,2024-06-29,,
1642,2024-06-30,,
1643,2024-07-01,,
1644,2024-07-02,,
1645,2024-07-03,0.6671558,1.9635733
1646,2024-07-04,,
1647,2024-07-05,0.5874203,2088.5603
1648,2024-07-06,,
1649,2024-07-07,,
1650,2024-07-08,0.5155154,3883.2053
1651,2024-07-09,0.5723339,14107.868
1652,2024-07-10,,
1653,2024-07-11,,
1654,2024-07-12,0.604448,1.5526894
1655,2024-07-13,,
1656,2024-07-14,0.5625581,1.4398538
1657,2024-07-15,0.5434031,1.336761
1658,2024-07-16,0.55476505,1.3636202
1659,2024-07-17,0.59973717,1.5196211
1660,2024-07-18,0.5884043,1.4504284
1661,2024-07-19,0.57120514,1.5859586
1662,2024-07-20,0.53876376,1.5322603
1663,2024-07-21,,
1664,2024-07-22,,
1665,2024-07-23,0.5231164,1.2586678
1666,2024-07-24,,
1667,2024-07-25,,
1668,2024-07-26,,
1669,2024-07-27,,
1670,2024-07-28,,
1671,2024-07-29,,
1672,2024-07-30,,
1673,2024-07-31,,
1674,2024-08-01,0.5209597,4372.2593
1675,2024-08-02,0.6086677,1.6224694
1676,2024-08-03,0.6139028,1.6003345
1677,2024-08-04,,
1678,2024-08-05,,
1679,2024-08-06,0.6619035,1.6212019
1680,2024-08-07,0.6066444,1.5129219
1681,2024-08-08,0.6027303,10926.375
1682,2024-08-09,0.63327855,1.7202402
1683,2024-08-10,,
1684,2024-08-11,,
1685,2024-08-12,0.66673183,1.7951243
1686,2024-08-13,,
1687,2024-08-14,0.6188614,50338.383
1688,2024-08-15,,
1689,2024-08-16,,
1690,2024-08-17,,
1691,2024-08-18,,
1692,2024-08-19,,
1693,2024-08-20,,
1694,2024-08-21,,
1695,2024-08-22,,
1696,2024-08-23,0.708547,1.9449536
1697,2024-08-24,,
1698,2024-08-25,,
1699,2024-08-26,0.7194339,2.1536694
1700,2024-08-27,,
1701,2024-08-28,0.73433006,1.8860357
1702,2024-08-29,,
1703,2024-08-30,0.64759964,1.7620103
1704,2024-08-31,0.68952984,2.3289464
1705,2024-09-01,0.70411956,2.1073494
1706,2024-09-02,0.7477359,1.9718337
1707,2024-09-03,0.73328066,1.959417
1708,2024-09-04,,
1709,2024-09-05,,
1710,2024-09-06,0.6999463,1.9773178
1711,2024-09-07,,
1712,2024-09-08,0.71815425,2.0460117
1713,2024-09-09,,
1714,2024-09-10,0.7301422,1.9925364
1715,2024-09-11,0.7442194,1.9924644
1716,2024-09-12,0.73867464,1.9507778
1717,2024-09-13,,
1718,2024-09-14,,
1719,2024-09-15,,
1720,2024-09-16,0.7113686,1.9467479
1721,2024-09-17,0.729291,2.2673588
1722,2024-09-18,0.7084074,1.9449761
1723,2024-09-19,,
1724,2024-09-20,,
1725,2024-09-21,,
1726,2024-09-22,,
1727,2024-09-23,,
1728,2024-09-24,,
1729,2024-09-25,,
1730,2024-09-26,,
1731,2024-09-27,,
1732,2024-09-28,0.7084456,2.067197
1733,2024-09-29,,
1734,2024-09-30,,
1735,2024-10-01,,
1736,2024-10-02,,
1737,2024-10-03,,
1738,2024-10-04,,
1739,2024-10-05,,
1740,2024-10-06,0.6484502,1.9077638
1741,2024-10-07,,
1742,2024-10-08,,
1743,2024-10-09,,
1744,2024-10-10,,
1745,2024-10-11,0.6451792,1.6372626
1746,2024-10-12,,
1747,2024-10-13,0.6614834,1.7156359
1748,2024-10-14,0.6879397,1.8260843
1749,2024-10-15,,
1750,2024-10-16,,
1751,2024-10-17,,
1752,2024-10-18,0.63616395,1.7424835
1753,2024-10-19,0.59679174,1.7146397
1754,2024-10-20,,
1755,2024-10-21,,
1756,2024-10-22,,
1757,2024-10-23,0.6512581,1.6325495
1758,2024-10-24,,
1759,2024-10-25,,
1760,2024-10-26,,
1761,2024-10-27,,
1762,2024-10-28,,
1763,2024-10-29,0.5752305,1.4043856
1764,2024-10-30,,
1765,2024-10-31,,
1766,2024-11-01,,
1767,2024-11-02,0.530761,1.3441877
1768,2024-11-03,0.52352643,1.2886381
1769,2024-11-04,0.53160906,1.3711585
1770,2024-11-05,0.5110845,1.369049
1771,2024-11-06,0.5116604,1.2369201
1772,2024-11-07,0.50229084,1.3285412
1773,2024-11-08,,
1774,2024-11-09,,
1775,2024-11-10,,
1776,2024-11-11,,
1777,2024-11-12,,
1778,2024-11-13,,
1779,2024-11-14,,
1780,2024-11-15,0.5019568,1.214743
1781,2024-11-16,,
1782,2024-11-17,0.5223147,1.3388144
1783,2024-11-18,,
1784,2024-11-19,,
1785,2024-11-20,,
1786,2024-11-21,,
1787,2024-11-22,0.5289609,1.2899374
1788,2024-11-23,,
1789,2024-11-24,0.46234244,1.4310455
1790,2024-11-25,,
1791,2024-11-26,0.54451245,1.3710507
1792,2024-11-27,0.53553957,1.3911352
1793,2024-11-28,0.4860202,5868.01
1794,2024-11-29,0.51936895,1.3461531
1795,2024-11-30,0.5029374,1.2881899
1796,2024-12-01,,
1797,2024-12-02,,
1798,2024-12-03,,
1799,2024-12-04,,
1800,2024-12-05,,
1801,2024-12-06,,
1802,2024-12-07,,
1803,2024-12-08,,
1804,2024-12-09,,
1805,2024-12-10,,
1806,2024-12-11,,
1807,2024-12-12,,
1808,2024-12-13,,
1809,2024-12-14,,
1810,2024-12-15,,
1811,2024-12-16,,
1812,2024-12-17,,
1813,2024-12-18,,
1814,2024-12-19,,
1815,2024-12-20,,
1816,2024-12-21,,
1817,2024-12-22,,
1818,2024-12-23,,
1819,2024-12-24,,
1820,2024-12-25,,
1821,2024-12-26,,
1822,2024-12-27,,
1823,2024-12-28,,
1824,2024-12-29,,
1825,2024-12-30,,
1826,2024-12-31,,
