,hanjun_start,積算温度_1半旬前,積算温度_2半旬前,積算温度_3半旬前,積算温度_4半旬前,積算温度_5半旬前,積算温度_6半旬前,積算温度_7半旬前,積算温度_8半旬前,積算温度_9半旬前,積算温度_10半旬前,積算温度_11半旬前,積算温度_12半旬前
0,2020-04-01,86.5509771547043,75.53172954822331,66.30477024273792,70.67095200688154,72.11386772854243,63.454232010403146,64.22693664836237,57.66422922294232,36.176199378981394,54.40357087892105,47.46101594875755,45.1989066546685
1,2020-04-06,84.19631229687036,86.5509771547043,75.53172954822331,66.30477024273792,70.67095200688154,72.11386772854243,63.454232010403146,64.22693664836237,57.66422922294232,36.176199378981394,54.40357087892105,47.46101594875755
2,2020-04-11,68.90073742616792,84.19631229687036,86.5509771547043,75.53172954822331,66.30477024273792,70.67095200688154,72.11386772854243,63.454232010403146,64.22693664836237,57.66422922294232,36.176199378981394,54.40357087892105
3,2020-04-16,65.81113157103879,68.90073742616792,84.19631229687036,86.5509771547043,75.53172954822331,66.30477024273792,70.67095200688154,72.11386772854243,63.454232010403146,64.22693664836237,57.66422922294232,36.176199378981394
4,2020-04-21,85.81207084098979,65.81113157103879,68.90073742616792,84.19631229687036,86.5509771547043,75.53172954822331,66.30477024273792,70.67095200688154,72.11386772854243,63.454232010403146,64.22693664836237,57.66422922294232
5,2020-04-26,87.35414882369513,85.81207084098979,65.81113157103879,68.90073742616792,84.19631229687036,86.5509771547043,75.53172954822331,66.30477024273792,70.67095200688154,72.11386772854243,63.454232010403146,64.22693664836237
6,2020-05-01,81.29786885117161,87.35414882369513,85.81207084098979,65.81113157103879,68.90073742616792,84.19631229687036,86.5509771547043,75.53172954822331,66.30477024273792,70.67095200688154,72.11386772854243,63.454232010403146
7,2020-05-06,93.49340639490843,81.29786885117161,87.35414882369513,85.81207084098979,65.81113157103879,68.90073742616792,84.19631229687036,86.5509771547043,75.53172954822331,66.30477024273792,70.67095200688154,72.11386772854243
8,2020-05-11,97.66007761294061,93.49340639490843,81.29786885117161,87.35414882369513,85.81207084098979,65.81113157103879,68.90073742616792,84.19631229687036,86.5509771547043,75.53172954822331,66.30477024273792,70.67095200688154
9,2020-05-16,88.40789935187178,97.66007761294061,93.49340639490843,81.29786885117161,87.35414882369513,85.81207084098979,65.81113157103879,68.90073742616792,84.19631229687036,86.5509771547043,75.53172954822331,66.30477024273792
10,2020-05-21,88.74640603779302,88.40789935187178,97.66007761294061,93.49340639490843,81.29786885117161,87.35414882369513,85.81207084098979,65.81113157103879,68.90073742616792,84.19631229687036,86.5509771547043,75.53172954822331
11,2020-05-26,91.89044440340275,88.74640603779302,88.40789935187178,97.66007761294061,93.49340639490843,81.29786885117161,87.35414882369513,85.81207084098979,65.81113157103879,68.90073742616792,84.19631229687036,86.5509771547043
12,2020-06-01,72.54686321948076,89.92596170346258,90.48459592840825,88.12405212717601,96.35051144732834,95.51628464053928,82.83861134277493,77.31107493185301,89.83166904371312,67.33626855905301,68.56369059258668,85.4248479215958
13,2020-06-06,81.18672048021905,72.54686321948076,89.92596170346258,90.48459592840825,88.12405212717601,96.35051144732834,95.51628464053928,82.83861134277493,77.31107493185301,89.83166904371312,67.33626855905301,68.56369059258668
14,2020-06-11,85.7603203770274,81.18672048021905,72.54686321948076,89.92596170346258,90.48459592840825,88.12405212717601,96.35051144732834,95.51628464053928,82.83861134277493,77.31107493185301,89.83166904371312,67.33626855905301
15,2020-06-16,92.01504147201184,85.7603203770274,81.18672048021905,72.54686321948076,89.92596170346258,90.48459592840825,88.12405212717601,96.35051144732834,95.51628464053928,82.83861134277493,77.31107493185301,89.83166904371312
16,2020-06-21,84.64901287921921,92.01504147201184,85.7603203770274,81.18672048021905,72.54686321948076,89.92596170346258,90.48459592840825,88.12405212717601,96.35051144732834,95.51628464053928,82.83861134277493,77.31107493185301
17,2020-06-26,85.27086737288509,84.64901287921921,92.01504147201184,85.7603203770274,81.18672048021905,72.54686321948076,89.92596170346258,90.48459592840825,88.12405212717601,96.35051144732834,95.51628464053928,82.83861134277493
18,2020-07-01,84.4062412242776,85.27086737288509,84.64901287921921,92.01504147201184,85.7603203770274,81.18672048021905,72.54686321948076,89.92596170346258,90.48459592840825,88.12405212717601,96.35051144732834,95.51628464053928
19,2020-07-06,74.12039510642305,84.4062412242776,85.27086737288509,84.64901287921921,92.01504147201184,85.7603203770274,81.18672048021905,72.54686321948076,89.92596170346258,90.48459592840825,88.12405212717601,96.35051144732834
20,2020-07-11,88.35635787209168,74.12039510642305,84.4062412242776,85.27086737288509,84.64901287921921,92.01504147201184,85.7603203770274,81.18672048021905,72.54686321948076,89.92596170346258,90.48459592840825,88.12405212717601
21,2020-07-16,88.45093197495443,88.35635787209168,74.12039510642305,84.4062412242776,85.27086737288509,84.64901287921921,92.01504147201184,85.7603203770274,81.18672048021905,72.54686321948076,89.92596170346258,90.48459592840825
22,2020-07-21,83.261120842416,88.45093197495443,88.35635787209168,74.12039510642305,84.4062412242776,85.27086737288509,84.64901287921921,92.01504147201184,85.7603203770274,81.18672048021905,72.54686321948076,89.92596170346258
23,2020-07-26,85.57527982399995,83.261120842416,88.45093197495443,88.35635787209168,74.12039510642305,84.4062412242776,85.27086737288509,84.64901287921921,92.01504147201184,85.7603203770274,81.18672048021905,72.54686321948076
24,2020-08-01,81.62904415584015,85.86450328741256,87.79619192262965,87.6827175852467,83.93008332531424,82.53687110933716,86.07679609152531,85.47631304478736,85.07272978673934,91.20733000384192,86.04145479467262,82.4556179285393
25,2020-08-06,80.31832329397577,81.62904415584015,85.86450328741256,87.79619192262965,87.6827175852467,83.93008332531424,82.53687110933716,86.07679609152531,85.47631304478736,85.07272978673934,91.20733000384192,86.04145479467262
26,2020-08-11,72.72898447617551,80.31832329397577,81.62904415584015,85.86450328741256,87.79619192262965,87.6827175852467,83.93008332531424,82.53687110933716,86.07679609152531,85.47631304478736,85.07272978673934,91.20733000384192
27,2020-08-16,79.21928593715155,72.72898447617551,80.31832329397577,81.62904415584015,85.86450328741256,87.79619192262965,87.6827175852467,83.93008332531424,82.53687110933716,86.07679609152531,85.47631304478736,85.07272978673934
28,2020-08-21,79.88480151077961,79.21928593715155,72.72898447617551,80.31832329397577,81.62904415584015,85.86450328741256,87.79619192262965,87.6827175852467,83.93008332531424,82.53687110933716,86.07679609152531,85.47631304478736
29,2020-08-26,80.4875135662623,79.88480151077961,79.21928593715155,72.72898447617551,80.31832329397577,81.62904415584015,85.86450328741256,87.79619192262965,87.6827175852467,83.93008332531424,82.53687110933716,86.07679609152531
30,2020-09-01,84.31850459626385,80.77223416565839,76.13515298947408,80.28527989836925,75.0391247552411,80.15977422504076,82.00169867205724,83.7715010687703,87.03868420378096,87.9039412380512,89.43493471616998,82.44966012564878
31,2020-09-06,81.97546769673173,84.31850459626385,80.77223416565839,76.13515298947408,80.28527989836925,75.0391247552411,80.15977422504076,82.00169867205724,83.7715010687703,87.03868420378096,87.9039412380512,89.43493471616998
32,2020-09-11,71.0967575941118,81.97546769673173,84.31850459626385,80.77223416565839,76.13515298947408,80.28527989836925,75.0391247552411,80.15977422504076,82.00169867205724,83.7715010687703,87.03868420378096,87.9039412380512
33,2020-09-16,71.27590697864922,71.0967575941118,81.97546769673173,84.31850459626385,80.77223416565839,76.13515298947408,80.28527989836925,75.0391247552411,80.15977422504076,82.00169867205724,83.7715010687703,87.03868420378096
34,2020-09-21,53.412856879125385,71.27590697864922,71.0967575941118,81.97546769673173,84.31850459626385,80.77223416565839,76.13515298947408,80.28527989836925,75.0391247552411,80.15977422504076,82.00169867205724,83.7715010687703
35,2020-09-26,62.71208968575128,53.412856879125385,71.27590697864922,71.0967575941118,81.97546769673173,84.31850459626385,80.77223416565839,76.13515298947408,80.28527989836925,75.0391247552411,80.15977422504076,82.00169867205724
36,2020-10-01,61.62115385779465,62.71208968575128,53.412856879125385,71.27590697864922,71.0967575941118,81.97546769673173,84.31850459626385,80.77223416565839,76.13515298947408,80.28527989836925,75.0391247552411,80.15977422504076
37,2020-10-06,62.50594141580991,61.62115385779465,62.71208968575128,53.412856879125385,71.27590697864922,71.0967575941118,81.97546769673173,84.31850459626385,80.77223416565839,76.13515298947408,80.28527989836925,75.0391247552411
38,2020-10-11,55.965689909845686,62.50594141580991,61.62115385779465,62.71208968575128,53.412856879125385,71.27590697864922,71.0967575941118,81.97546769673173,84.31850459626385,80.77223416565839,76.13515298947408,80.28527989836925
39,2020-10-16,59.389890996685494,55.965689909845686,62.50594141580991,61.62115385779465,62.71208968575128,53.412856879125385,71.27590697864922,71.0967575941118,81.97546769673173,84.31850459626385,80.77223416565839,76.13515298947408
40,2020-10-21,43.42245291795623,59.389890996685494,55.965689909845686,62.50594141580991,61.62115385779465,62.71208968575128,53.412856879125385,71.27590697864922,71.0967575941118,81.97546769673173,84.31850459626385,80.77223416565839
41,2020-10-26,47.16049829840746,43.42245291795623,59.389890996685494,55.965689909845686,62.50594141580991,61.62115385779465,62.71208968575128,53.412856879125385,71.27590697864922,71.0967575941118,81.97546769673173,84.31850459626385
42,2020-11-01,51.73973862666555,48.61279693166137,48.102922062742614,60.417274452045824,56.52146414211945,62.561773707512906,60.55507848419326,68.30792140291695,52.48035303721753,71.58485175572035,69.04843576192901,80.83534930974551
43,2020-11-06,50.77383603422411,51.73973862666555,48.61279693166137,48.102922062742614,60.417274452045824,56.52146414211945,62.561773707512906,60.55507848419326,68.30792140291695,52.48035303721753,71.58485175572035,69.04843576192901
44,2020-11-11,48.93420109231327,50.77383603422411,51.73973862666555,48.61279693166137,48.102922062742614,60.417274452045824,56.52146414211945,62.561773707512906,60.55507848419326,68.30792140291695,52.48035303721753,71.58485175572035
45,2020-11-16,51.07972132094889,48.93420109231327,50.77383603422411,51.73973862666555,48.61279693166137,48.102922062742614,60.417274452045824,56.52146414211945,62.561773707512906,60.55507848419326,68.30792140291695,52.48035303721753
46,2020-11-21,59.343641547542155,51.07972132094889,48.93420109231327,50.77383603422411,51.73973862666555,48.61279693166137,48.102922062742614,60.417274452045824,56.52146414211945,62.561773707512906,60.55507848419326,68.30792140291695
47,2020-11-26,57.73220769935743,59.343641547542155,51.07972132094889,48.93420109231327,50.77383603422411,51.73973862666555,48.61279693166137,48.102922062742614,60.417274452045824,56.52146414211945,62.561773707512906,60.55507848419326
48,2021-04-01,78.06256229054107,62.9884346675189,81.04505239368447,68.7520584868544,68.04322946825519,58.18296975671641,71.43325659142762,58.437033542942096,49.406758800243885,41.78546238952391,52.303492556406255,46.80300111860439
49,2021-04-06,82.89626929895817,78.06256229054107,62.9884346675189,81.04505239368447,68.7520584868544,68.04322946825519,58.18296975671641,71.43325659142762,58.437033542942096,49.406758800243885,41.78546238952391,52.303492556406255
50,2021-04-11,77.45267298692966,82.89626929895817,78.06256229054107,62.9884346675189,81.04505239368447,68.7520584868544,68.04322946825519,58.18296975671641,71.43325659142762,58.437033542942096,49.406758800243885,41.78546238952391
51,2021-04-16,78.52423101790706,77.45267298692966,82.89626929895817,78.06256229054107,62.9884346675189,81.04505239368447,68.7520584868544,68.04322946825519,58.18296975671641,71.43325659142762,58.437033542942096,49.406758800243885
52,2021-04-21,83.54808476911218,78.52423101790706,77.45267298692966,82.89626929895817,78.06256229054107,62.9884346675189,81.04505239368447,68.7520584868544,68.04322946825519,58.18296975671641,71.43325659142762,58.437033542942096
53,2021-04-26,86.25287760692966,83.54808476911218,78.52423101790706,77.45267298692966,82.89626929895817,78.06256229054107,62.9884346675189,81.04505239368447,68.7520584868544,68.04322946825519,58.18296975671641,71.43325659142762
54,2021-05-01,69.50320592523445,86.25287760692966,83.54808476911218,78.52423101790706,77.45267298692966,82.89626929895817,78.06256229054107,62.9884346675189,81.04505239368447,68.7520584868544,68.04322946825519,58.18296975671641
55,2021-05-06,85.09907184448467,69.50320592523445,86.25287760692966,83.54808476911218,78.52423101790706,77.45267298692966,82.89626929895817,78.06256229054107,62.9884346675189,81.04505239368447,68.7520584868544,68.04322946825519
56,2021-05-11,83.49268704751289,85.09907184448467,69.50320592523445,86.25287760692966,83.54808476911218,78.52423101790706,77.45267298692966,82.89626929895817,78.06256229054107,62.9884346675189,81.04505239368447,68.7520584868544
57,2021-05-16,89.8627851538416,83.49268704751289,85.09907184448467,69.50320592523445,86.25287760692966,83.54808476911218,78.52423101790706,77.45267298692966,82.89626929895817,78.06256229054107,62.9884346675189,81.04505239368447
58,2021-05-21,89.46081781169056,89.8627851538416,83.49268704751289,85.09907184448467,69.50320592523445,86.25287760692966,83.54808476911218,78.52423101790706,77.45267298692966,82.89626929895817,78.06256229054107,62.9884346675189
59,2021-05-26,94.43247888285755,89.46081781169056,89.8627851538416,83.49268704751289,85.09907184448467,69.50320592523445,86.25287760692966,83.54808476911218,78.52423101790706,77.45267298692966,82.89626929895817,78.06256229054107
60,2021-06-01,88.59582710133989,95.72173751656983,89.39330835828778,89.34073804646766,86.1187826682776,82.53591293106301,75.02809821083535,87.12211145969191,81.02483226575667,80.18273920776743,76.24136787561089,87.81958124493451
61,2021-06-06,82.6715566540037,88.59582710133989,95.72173751656983,89.39330835828778,89.34073804646766,86.1187826682776,82.53591293106301,75.02809821083535,87.12211145969191,81.02483226575667,80.18273920776743,76.24136787561089
62,2021-06-11,86.10676593885417,82.6715566540037,88.59582710133989,95.72173751656983,89.39330835828778,89.34073804646766,86.1187826682776,82.53591293106301,75.02809821083535,87.12211145969191,81.02483226575667,80.18273920776743
63,2021-06-16,71.67684260695569,86.10676593885417,82.6715566540037,88.59582710133989,95.72173751656983,89.39330835828778,89.34073804646766,86.1187826682776,82.53591293106301,75.02809821083535,87.12211145969191,81.02483226575667
64,2021-06-21,87.18640603251747,71.67684260695569,86.10676593885417,82.6715566540037,88.59582710133989,95.72173751656983,89.39330835828778,89.34073804646766,86.1187826682776,82.53591293106301,75.02809821083535,87.12211145969191
65,2021-06-26,90.88756158201636,87.18640603251747,71.67684260695569,86.10676593885417,82.6715566540037,88.59582710133989,95.72173751656983,89.39330835828778,89.34073804646766,86.1187826682776,82.53591293106301,75.02809821083535
66,2021-07-01,83.18003976171131,90.88756158201636,87.18640603251747,71.67684260695569,86.10676593885417,82.6715566540037,88.59582710133989,95.72173751656983,89.39330835828778,89.34073804646766,86.1187826682776,82.53591293106301
67,2021-07-06,89.12589124457473,83.18003976171131,90.88756158201636,87.18640603251747,71.67684260695569,86.10676593885417,82.6715566540037,88.59582710133989,95.72173751656983,89.39330835828778,89.34073804646766,86.1187826682776
68,2021-07-11,79.02773525071527,89.12589124457473,83.18003976171131,90.88756158201636,87.18640603251747,71.67684260695569,86.10676593885417,82.6715566540037,88.59582710133989,95.72173751656983,89.39330835828778,89.34073804646766
69,2021-07-16,81.00484609815278,79.02773525071527,89.12589124457473,83.18003976171131,90.88756158201636,87.18640603251747,71.67684260695569,86.10676593885417,82.6715566540037,88.59582710133989,95.72173751656983,89.39330835828778
70,2021-07-21,76.51559560263463,81.00484609815278,79.02773525071527,89.12589124457473,83.18003976171131,90.88756158201636,87.18640603251747,71.67684260695569,86.10676593885417,82.6715566540037,88.59582710133989,95.72173751656983
71,2021-07-26,78.27508343640939,76.51559560263463,81.00484609815278,79.02773525071527,89.12589124457473,83.18003976171131,90.88756158201636,87.18640603251747,71.67684260695569,86.10676593885417,82.6715566540037,88.59582710133989
72,2021-08-01,86.61648295657203,77.18420331997494,70.36472382810508,81.27897178050043,79.3694605809692,90.17274933625436,88.60299132282572,81.24034649519949,87.59783499133052,76.07358420769768,82.65738472673016,87.97325223132314
73,2021-08-06,85.5389525611226,86.61648295657203,77.18420331997494,70.36472382810508,81.27897178050043,79.3694605809692,90.17274933625436,88.60299132282572,81.24034649519949,87.59783499133052,76.07358420769768,82.65738472673016
74,2021-08-11,80.89848466609422,85.5389525611226,86.61648295657203,77.18420331997494,70.36472382810508,81.27897178050043,79.3694605809692,90.17274933625436,88.60299132282572,81.24034649519949,87.59783499133052,76.07358420769768
75,2021-08-16,78.41380798516616,80.89848466609422,85.5389525611226,86.61648295657203,77.18420331997494,70.36472382810508,81.27897178050043,79.3694605809692,90.17274933625436,88.60299132282572,81.24034649519949,87.59783499133052
76,2021-08-21,77.86891980662926,78.41380798516616,80.89848466609422,85.5389525611226,86.61648295657203,77.18420331997494,70.36472382810508,81.27897178050043,79.3694605809692,90.17274933625436,88.60299132282572,81.24034649519949
77,2021-08-26,81.70651093257955,77.86891980662926,78.41380798516616,80.89848466609422,85.5389525611226,86.61648295657203,77.18420331997494,70.36472382810508,81.27897178050043,79.3694605809692,90.17274933625436,88.60299132282572
78,2021-09-01,78.00179469148188,80.92782598995014,78.98671816746686,80.88829318332104,84.20848511125904,84.36641769485506,86.02609985097945,81.67930478236205,75.07317968404615,83.04596748719338,76.42299616593768,84.75643315611838
79,2021-09-06,76.95071734489272,78.00179469148188,80.92782598995014,78.98671816746686,80.88829318332104,84.20848511125904,84.36641769485506,86.02609985097945,81.67930478236205,75.07317968404615,83.04596748719338,76.42299616593768
80,2021-09-11,78.04030921658962,76.95071734489272,78.00179469148188,80.92782598995014,78.98671816746686,80.88829318332104,84.20848511125904,84.36641769485506,86.02609985097945,81.67930478236205,75.07317968404615,83.04596748719338
81,2021-09-16,78.60585220537767,78.04030921658962,76.95071734489272,78.00179469148188,80.92782598995014,78.98671816746686,80.88829318332104,84.20848511125904,84.36641769485506,86.02609985097945,81.67930478236205,75.07317968404615
82,2021-09-21,74.74951062453952,78.60585220537767,78.04030921658962,76.95071734489272,78.00179469148188,80.92782598995014,78.98671816746686,80.88829318332104,84.20848511125904,84.36641769485506,86.02609985097945,81.67930478236205
83,2021-09-26,73.67227568497957,74.74951062453952,78.60585220537767,78.04030921658962,76.95071734489272,78.00179469148188,80.92782598995014,78.98671816746686,80.88829318332104,84.20848511125904,84.36641769485506,86.02609985097945
84,2021-10-01,77.55598098512066,73.67227568497957,74.74951062453952,78.60585220537767,78.04030921658962,76.95071734489272,78.00179469148188,80.92782598995014,78.98671816746686,80.88829318332104,84.20848511125904,84.36641769485506
85,2021-10-06,78.19472680998805,77.55598098512066,73.67227568497957,74.74951062453952,78.60585220537767,78.04030921658962,76.95071734489272,78.00179469148188,80.92782598995014,78.98671816746686,80.88829318332104,84.20848511125904
86,2021-10-11,73.24273901686033,78.19472680998805,77.55598098512066,73.67227568497957,74.74951062453952,78.60585220537767,78.04030921658962,76.95071734489272,78.00179469148188,80.92782598995014,78.98671816746686,80.88829318332104
87,2021-10-16,46.80960645923059,73.24273901686033,78.19472680998805,77.55598098512066,73.67227568497957,74.74951062453952,78.60585220537767,78.04030921658962,76.95071734489272,78.00179469148188,80.92782598995014,78.98671816746686
88,2021-10-21,56.86189599943028,46.80960645923059,73.24273901686033,78.19472680998805,77.55598098512066,73.67227568497957,74.74951062453952,78.60585220537767,78.04030921658962,76.95071734489272,78.00179469148188,80.92782598995014
89,2021-10-26,45.01596558064111,56.86189599943028,46.80960645923059,73.24273901686033,78.19472680998805,77.55598098512066,73.67227568497957,74.74951062453952,78.60585220537767,78.04030921658962,76.95071734489272,78.00179469148188
90,2021-11-01,54.1372752563504,46.10944289699573,57.40933211083715,44.694281600235186,63.805455217779944,77.91695072837207,77.56932215910288,76.60169707407532,74.26379928132462,74.44514085086887,78.93882730559105,78.5892368194121
91,2021-11-06,58.00343376881903,54.1372752563504,46.10944289699573,57.40933211083715,44.694281600235186,63.805455217779944,77.91695072837207,77.56932215910288,76.60169707407532,74.26379928132462,74.44514085086887,78.93882730559105
92,2021-11-11,38.28333960244371,58.00343376881903,54.1372752563504,46.10944289699573,57.40933211083715,44.694281600235186,63.805455217779944,77.91695072837207,77.56932215910288,76.60169707407532,74.26379928132462,74.44514085086887
93,2021-11-16,41.19983869502607,38.28333960244371,58.00343376881903,54.1372752563504,46.10944289699573,57.40933211083715,44.694281600235186,63.805455217779944,77.91695072837207,77.56932215910288,76.60169707407532,74.26379928132462
94,2021-11-21,44.66573677293719,41.19983869502607,38.28333960244371,58.00343376881903,54.1372752563504,46.10944289699573,57.40933211083715,44.694281600235186,63.805455217779944,77.91695072837207,77.56932215910288,76.60169707407532
95,2021-11-26,38.3618079366848,44.66573677293719,41.19983869502607,38.28333960244371,58.00343376881903,54.1372752563504,46.10944289699573,57.40933211083715,44.694281600235186,63.805455217779944,77.91695072837207,77.56932215910288
96,2022-04-01,54.917785487991154,71.56955287741219,69.20661895910739,73.19557328905218,60.72803588139069,59.26335527969882,44.250209713440185,28.79881933173077,42.590858705413915,36.48312265731413,44.31446978319545,36.6076690175057
97,2022-04-06,55.45951056584105,54.917785487991154,71.56955287741219,69.20661895910739,73.19557328905218,60.72803588139069,59.26335527969882,44.250209713440185,28.79881933173077,42.590858705413915,36.48312265731413,44.31446978319545
98,2022-04-11,69.90809821242756,55.45951056584105,54.917785487991154,71.56955287741219,69.20661895910739,73.19557328905218,60.72803588139069,59.26335527969882,44.250209713440185,28.79881933173077,42.590858705413915,36.48312265731413
99,2022-04-16,77.47226089684413,69.90809821242756,55.45951056584105,54.917785487991154,71.56955287741219,69.20661895910739,73.19557328905218,60.72803588139069,59.26335527969882,44.250209713440185,28.79881933173077,42.590858705413915
100,2022-04-21,59.35690411902176,77.47226089684413,69.90809821242756,55.45951056584105,54.917785487991154,71.56955287741219,69.20661895910739,73.19557328905218,60.72803588139069,59.26335527969882,44.250209713440185,28.79881933173077
101,2022-04-26,74.81814287234616,59.35690411902176,77.47226089684413,69.90809821242756,55.45951056584105,54.917785487991154,71.56955287741219,69.20661895910739,73.19557328905218,60.72803588139069,59.26335527969882,44.250209713440185
102,2022-05-01,81.87440025874349,74.81814287234616,59.35690411902176,77.47226089684413,69.90809821242756,55.45951056584105,54.917785487991154,71.56955287741219,69.20661895910739,73.19557328905218,60.72803588139069,59.26335527969882
103,2022-05-06,66.40843227407116,81.87440025874349,74.81814287234616,59.35690411902176,77.47226089684413,69.90809821242756,55.45951056584105,54.917785487991154,71.56955287741219,69.20661895910739,73.19557328905218,60.72803588139069
104,2022-05-11,72.95795955260023,66.40843227407116,81.87440025874349,74.81814287234616,59.35690411902176,77.47226089684413,69.90809821242756,55.45951056584105,54.917785487991154,71.56955287741219,69.20661895910739,73.19557328905218
105,2022-05-16,78.8494510922873,72.95795955260023,66.40843227407116,81.87440025874349,74.81814287234616,59.35690411902176,77.47226089684413,69.90809821242756,55.45951056584105,54.917785487991154,71.56955287741219,69.20661895910739
106,2022-05-21,56.09652919438463,78.8494510922873,72.95795955260023,66.40843227407116,81.87440025874349,74.81814287234616,59.35690411902176,77.47226089684413,69.90809821242756,55.45951056584105,54.917785487991154,71.56955287741219
107,2022-05-26,67.34186783354738,56.09652919438463,78.8494510922873,72.95795955260023,66.40843227407116,81.87440025874349,74.81814287234616,59.35690411902176,77.47226089684413,69.90809821242756,55.45951056584105,54.917785487991154
108,2022-06-01,70.08178115511087,68.3739921759486,60.146410796444734,56.712410543767135,69.68077099327283,66.41164444015027,82.46956892693053,80.25014568511067,56.181859349374015,73.26415995905906,72.4838237194688,56.53066078810313
109,2022-06-06,73.31393240166042,70.08178115511087,68.3739921759486,60.146410796444734,56.712410543767135,69.68077099327283,66.41164444015027,82.46956892693053,80.25014568511067,56.181859349374015,73.26415995905906,72.4838237194688
110,2022-06-11,81.56792963909743,73.31393240166042,70.08178115511087,68.3739921759486,60.146410796444734,56.712410543767135,69.68077099327283,66.41164444015027,82.46956892693053,80.25014568511067,56.181859349374015,73.26415995905906
111,2022-06-16,72.5811881759049,81.56792963909743,73.31393240166042,70.08178115511087,68.3739921759486,60.146410796444734,56.712410543767135,69.68077099327283,66.41164444015027,82.46956892693053,80.25014568511067,56.181859349374015
112,2022-06-21,79.95503138405259,72.5811881759049,81.56792963909743,73.31393240166042,70.08178115511087,68.3739921759486,60.146410796444734,56.712410543767135,69.68077099327283,66.41164444015027,82.46956892693053,80.25014568511067
113,2022-06-26,82.85440982563362,79.95503138405259,72.5811881759049,81.56792963909743,73.31393240166042,70.08178115511087,68.3739921759486,60.146410796444734,56.712410543767135,69.68077099327283,66.41164444015027,82.46956892693053
114,2022-07-01,83.20942564034738,82.85440982563362,79.95503138405259,72.5811881759049,81.56792963909743,73.31393240166042,70.08178115511087,68.3739921759486,60.146410796444734,56.712410543767135,69.68077099327283,66.41164444015027
115,2022-07-06,73.07977746996872,83.20942564034738,82.85440982563362,79.95503138405259,72.5811881759049,81.56792963909743,73.31393240166042,70.08178115511087,68.3739921759486,60.146410796444734,56.712410543767135,69.68077099327283
116,2022-07-11,79.39437687123129,73.07977746996872,83.20942564034738,82.85440982563362,79.95503138405259,72.5811881759049,81.56792963909743,73.31393240166042,70.08178115511087,68.3739921759486,60.146410796444734,56.712410543767135
117,2022-07-16,80.69271815171153,79.39437687123129,73.07977746996872,83.20942564034738,82.85440982563362,79.95503138405259,72.5811881759049,81.56792963909743,73.31393240166042,70.08178115511087,68.3739921759486,60.146410796444734
118,2022-07-21,77.98315634810294,80.69271815171153,79.39437687123129,73.07977746996872,83.20942564034738,82.85440982563362,79.95503138405259,72.5811881759049,81.56792963909743,73.31393240166042,70.08178115511087,68.3739921759486
